strain,seqid,source,type,start,end,length,strand,score,phase,gene_id,name,product,locus_tag,gene_biotype,attributes
H37Rv,NC_000962.3,RefSeq,gene,469591,470013,423,+,,,gene-Rv0390,Rv0390,,Rv0390,protein_coding,ID=gene-Rv0390;Dbxref=GeneID:886433;Name=Rv0390;gbkey=Gene;gene_biotype=protein_coding;locus_tag=Rv0390
H37Rv,NC_000962.3,RefSeq,CDS,469591,470013,423,+,,0,cds-NP_214904.1,NP_214904.1,hypothetical protein,Rv0390,protein_coding,"ID=cds-NP_214904.1;Parent=gene-Rv0390;Dbxref=GenBank:NP_214904.1,GeneID:886433;Name=NP_214904.1;experiment=COORDINATES:Mass spectrometry[PMID:21969609],EXISTENCE:Mass spectrometry[PMID:20429878],EXISTENCE:Mass spectrometry[PMID:21920479];gbkey=CDS;locus_tag=Rv0390;product=hypothetical protein;protein_id=NP_214904.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,470010,471230,1221,+,,,gene-Rv0391,metZ,,Rv0391,protein_coding,ID=gene-Rv0391;Dbxref=GeneID:886431;Name=metZ;gbkey=Gene;gene=metZ;gene_biotype=protein_coding;locus_tag=Rv0391
H37Rv,NC_000962.3,RefSeq,CDS,470010,471230,1221,+,,0,cds-NP_214905.1,NP_214905.1,O-succinylhomoserine sulfhydrylase,Rv0391,protein_coding,"ID=cds-NP_214905.1;Parent=gene-Rv0391;Dbxref=GenBank:NP_214905.1,GeneID:886431;Name=NP_214905.1;Note=OSH sulfhydrylase. Belongs to the trans-sulfuration enzymes family.;experiment=EXISTENCE:Mass spectrometry[PMID:20429878],EXISTENCE:Mass spectrometry[PMID:21920479];gbkey=CDS;gene=metZ;locus_tag=Rv0391;product=O-succinylhomoserine sulfhydrylase;protein_id=NP_214905.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,471227,472639,1413,-,,,gene-Rv0392c,ndhA,,Rv0392c,protein_coding,ID=gene-Rv0392c;Dbxref=GeneID:886430;Name=ndhA;gbkey=Gene;gene=ndhA;gene_biotype=protein_coding;locus_tag=Rv0392c
H37Rv,NC_000962.3,RefSeq,CDS,471227,472639,1413,-,,0,cds-NP_214906.1,NP_214906.1,NADH dehydrogenase NdhA,Rv0392c,protein_coding,"ID=cds-NP_214906.1;Parent=gene-Rv0392c;Dbxref=GenBank:NP_214906.1,GeneID:886430;Name=NP_214906.1;experiment=COORDINATES:Mass spectrometry[PMID:21969609],EXISTENCE:Mass spectrometry[PMID:20429878],EXISTENCE:Mass spectrometry[PMID:21920479];gbkey=CDS;gene=ndhA;locus_tag=Rv0392c;product=NADH dehydrogenase NdhA;protein_id=NP_214906.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,472781,474106,1326,+,,,gene-Rv0393,Rv0393,,Rv0393,protein_coding,ID=gene-Rv0393;Dbxref=GeneID:886428;Name=Rv0393;gbkey=Gene;gene_biotype=protein_coding;locus_tag=Rv0393
H37Rv,NC_000962.3,RefSeq,CDS,472781,474106,1326,+,,0,cds-NP_214907.1,NP_214907.1,hypothetical protein,Rv0393,protein_coding,"ID=cds-NP_214907.1;Parent=gene-Rv0393;Dbxref=GenBank:NP_214907.1,GeneID:886428;Name=NP_214907.1;gbkey=CDS;locus_tag=Rv0393;product=hypothetical protein;protein_id=NP_214907.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,474122,474841,720,-,,,gene-Rv0394c,Rv0394c,,Rv0394c,protein_coding,ID=gene-Rv0394c;Dbxref=GeneID:886435;Name=Rv0394c;gbkey=Gene;gene_biotype=protein_coding;locus_tag=Rv0394c
H37Rv,NC_000962.3,RefSeq,CDS,474122,474841,720,-,,0,cds-NP_214908.1,NP_214908.1,hypothetical protein,Rv0394c,protein_coding,"ID=cds-NP_214908.1;Parent=gene-Rv0394c;Dbxref=GenBank:NP_214908.1,GeneID:886435;Name=NP_214908.1;experiment=EXISTENCE:Mass spectrometry[PMID:21920479];gbkey=CDS;locus_tag=Rv0394c;product=hypothetical protein;protein_id=NP_214908.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,474940,475344,405,+,,,gene-Rv0395,Rv0395,,Rv0395,protein_coding,ID=gene-Rv0395;Dbxref=GeneID:886425;Name=Rv0395;gbkey=Gene;gene_biotype=protein_coding;locus_tag=Rv0395
H37Rv,NC_000962.3,RefSeq,CDS,474940,475344,405,+,,0,cds-NP_214909.1,NP_214909.1,hypothetical protein,Rv0395,protein_coding,"ID=cds-NP_214909.1;Parent=gene-Rv0395;Dbxref=GenBank:NP_214909.1,GeneID:886425;Name=NP_214909.1;gbkey=CDS;locus_tag=Rv0395;product=hypothetical protein;protein_id=NP_214909.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,475350,475742,393,+,,,gene-Rv0396,Rv0396,,Rv0396,protein_coding,ID=gene-Rv0396;Dbxref=GeneID:886423;Name=Rv0396;gbkey=Gene;gene_biotype=protein_coding;locus_tag=Rv0396
H37Rv,NC_000962.3,RefSeq,CDS,475350,475742,393,+,,0,cds-NP_214910.1,NP_214910.1,hypothetical protein,Rv0396,protein_coding,"ID=cds-NP_214910.1;Parent=gene-Rv0396;Dbxref=GenBank:NP_214910.1,GeneID:886423;Name=NP_214910.1;gbkey=CDS;locus_tag=Rv0396;product=hypothetical protein;protein_id=NP_214910.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,475816,476184,369,+,,,gene-Rv0397,Rv0397,,Rv0397,protein_coding,ID=gene-Rv0397;Dbxref=GeneID:886421;Name=Rv0397;gbkey=Gene;gene_biotype=protein_coding;locus_tag=Rv0397
H37Rv,NC_000962.3,RefSeq,CDS,475816,476184,369,+,,0,cds-NP_214911.1,NP_214911.1,hypothetical protein,Rv0397,protein_coding,"ID=cds-NP_214911.1;Parent=gene-Rv0397;Dbxref=GenBank:NP_214911.1,GeneID:886421;Name=NP_214911.1;gbkey=CDS;locus_tag=Rv0397;product=hypothetical protein;protein_id=NP_214911.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,476394,476642,249,+,,,gene-Rv0397A,Rv0397A,,Rv0397A,protein_coding,ID=gene-Rv0397A;Dbxref=GeneID:14515846;Name=Rv0397A;gbkey=Gene;gene_biotype=protein_coding;locus_tag=Rv0397A
H37Rv,NC_000962.3,RefSeq,CDS,476394,476642,249,+,,0,cds-YP_004837048.2,YP_004837048.2,hypothetical protein,Rv0397A,protein_coding,"ID=cds-YP_004837048.2;Parent=gene-Rv0397A;Dbxref=GenBank:YP_004837048.2,GeneID:14515846;Name=YP_004837048.2;experiment=COORDINATES:Mass spectrometry[PMID:21969609],EXISTENCE:Mass spectrometry[PMID:21920479];gbkey=CDS;locus_tag=Rv0397A;product=hypothetical protein;protein_id=YP_004837048.2;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,476679,477320,642,-,,,gene-Rv0398c,Rv0398c,,Rv0398c,protein_coding,ID=gene-Rv0398c;Dbxref=GeneID:886419;Name=Rv0398c;gbkey=Gene;gene_biotype=protein_coding;locus_tag=Rv0398c
H37Rv,NC_000962.3,RefSeq,CDS,476679,477320,642,-,,0,cds-NP_214912.1,NP_214912.1,hypothetical protein,Rv0398c,protein_coding,"ID=cds-NP_214912.1;Parent=gene-Rv0398c;Dbxref=GenBank:NP_214912.1,GeneID:886419;Name=NP_214912.1;experiment=EXISTENCE:Mass spectrometry[PMID:21085642],EXISTENCE:Mass spectrometry[PMID:21920479];gbkey=CDS;locus_tag=Rv0398c;product=hypothetical protein;protein_id=NP_214912.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,477327,478556,1230,-,,,gene-Rv0399c,lpqK,,Rv0399c,protein_coding,ID=gene-Rv0399c;Dbxref=GeneID:886416;Name=lpqK;gbkey=Gene;gene=lpqK;gene_biotype=protein_coding;locus_tag=Rv0399c
H37Rv,NC_000962.3,RefSeq,CDS,477327,478556,1230,-,,0,cds-NP_214913.1,NP_214913.1,lipoprotein LpqK,Rv0399c,protein_coding,"ID=cds-NP_214913.1;Parent=gene-Rv0399c;Dbxref=GenBank:NP_214913.1,GeneID:886416;Name=NP_214913.1;experiment=EXISTENCE:Mass spectrometry[PMID:20429878],EXISTENCE:Mass spectrometry[PMID:21920479];gbkey=CDS;gene=lpqK;locus_tag=Rv0399c;product=lipoprotein LpqK;protein_id=NP_214913.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,478566,479753,1188,-,,,gene-Rv0400c,fadE7,,Rv0400c,protein_coding,ID=gene-Rv0400c;Dbxref=GeneID:886427;Name=fadE7;gbkey=Gene;gene=fadE7;gene_biotype=protein_coding;locus_tag=Rv0400c
H37Rv,NC_000962.3,RefSeq,CDS,478566,479753,1188,-,,0,cds-NP_214914.1,NP_214914.1,acyl-CoA dehydrogenase FadE7,Rv0400c,protein_coding,"ID=cds-NP_214914.1;Parent=gene-Rv0400c;Dbxref=GenBank:NP_214914.1,GeneID:886427;Name=NP_214914.1;experiment=COORDINATES:Mass spectrometry[PMID:21969609],EXISTENCE:Mass spectrometry[PMID:20429878],EXISTENCE:Mass spectrometry[PMID:21920479];gbkey=CDS;gene=fadE7;locus_tag=Rv0400c;product=acyl-CoA dehydrogenase FadE7;protein_id=NP_214914.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,479789,480160,372,+,,,gene-Rv0401,Rv0401,,Rv0401,protein_coding,ID=gene-Rv0401;Dbxref=GeneID:886438;Name=Rv0401;gbkey=Gene;gene_biotype=protein_coding;locus_tag=Rv0401
H37Rv,NC_000962.3,RefSeq,CDS,479789,480160,372,+,,0,cds-NP_214915.1,NP_214915.1,transmembrane protein,Rv0401,protein_coding,"ID=cds-NP_214915.1;Parent=gene-Rv0401;Dbxref=GenBank:NP_214915.1,GeneID:886438;Name=NP_214915.1;Note=A core mycobacterial gene%3B conserved in mycobacterial strains (See Marmiesse et al.%2C 2004 PMID:14766927).;gbkey=CDS;locus_tag=Rv0401;product=transmembrane protein;protein_id=NP_214915.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,480355,483231,2877,-,,,gene-Rv0402c,mmpL1,,Rv0402c,protein_coding,ID=gene-Rv0402c;Dbxref=GeneID:886413;Name=mmpL1;gbkey=Gene;gene=mmpL1;gene_biotype=protein_coding;locus_tag=Rv0402c
H37Rv,NC_000962.3,RefSeq,CDS,480355,483231,2877,-,,0,cds-NP_214916.1,NP_214916.1,transmembrane transport protein MmpL1,Rv0402c,protein_coding,"ID=cds-NP_214916.1;Parent=gene-Rv0402c;Dbxref=GenBank:NP_214916.1,GeneID:886413;Name=NP_214916.1;experiment=EXISTENCE:Mass spectrometry[PMID:20429878],EXISTENCE:Mass spectrometry[PMID:21920479];gbkey=CDS;gene=mmpL1;locus_tag=Rv0402c;product=transmembrane transport protein MmpL1;protein_id=NP_214916.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,483228,483656,429,-,,,gene-Rv0403c,mmpS1,,Rv0403c,protein_coding,ID=gene-Rv0403c;Dbxref=GeneID:886411;Name=mmpS1;gbkey=Gene;gene=mmpS1;gene_biotype=protein_coding;locus_tag=Rv0403c
H37Rv,NC_000962.3,RefSeq,CDS,483228,483656,429,-,,0,cds-NP_214917.1,NP_214917.1,membrane protein MmpS1,Rv0403c,protein_coding,"ID=cds-NP_214917.1;Parent=gene-Rv0403c;Dbxref=GenBank:NP_214917.1,GeneID:886411;Name=NP_214917.1;experiment=EXISTENCE:Mass spectrometry[PMID:21920479];gbkey=CDS;gene=mmpS1;locus_tag=Rv0403c;product=membrane protein MmpS1;protein_id=NP_214917.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,483977,485734,1758,+,,,gene-Rv0404,fadD30,,Rv0404,protein_coding,ID=gene-Rv0404;Dbxref=GeneID:886409;Name=fadD30;gbkey=Gene;gene=fadD30;gene_biotype=protein_coding;locus_tag=Rv0404
H37Rv,NC_000962.3,RefSeq,CDS,483977,485734,1758,+,,0,cds-NP_214918.1,NP_214918.1,long-chain-fatty-acid--AMP ligase FadD30,Rv0404,protein_coding,"ID=cds-NP_214918.1;Parent=gene-Rv0404;Dbxref=GenBank:NP_214918.1,GeneID:886409;Name=NP_214918.1;Note=fadD30%2C fatty-acid-AMP synthetase;experiment=EXISTENCE:Gene expression[PMID:15042094];gbkey=CDS;gene=fadD30;locus_tag=Rv0404;product=long-chain-fatty-acid--AMP ligase FadD30;protein_id=NP_214918.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,485731,489939,4209,+,,,gene-Rv0405,pks6,,Rv0405,protein_coding,ID=gene-Rv0405;Dbxref=GeneID:886407;Name=pks6;gbkey=Gene;gene=pks6;gene_biotype=protein_coding;locus_tag=Rv0405
H37Rv,NC_000962.3,RefSeq,CDS,485731,489939,4209,+,,0,cds-NP_214919.1,NP_214919.1,membrane bound polyketide synthase,Rv0405,protein_coding,"ID=cds-NP_214919.1;Parent=gene-Rv0405;Dbxref=GenBank:NP_214919.1,GeneID:886407;Name=NP_214919.1;experiment=EXISTENCE:Mass spectrometry[PMID:21085642];gbkey=CDS;gene=pks6;inference=protein motif:PROSITE:PS00606;locus_tag=Rv0405;product=membrane bound polyketide synthase;protein_id=NP_214919.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,489887,490705,819,-,,,gene-Rv0406c,Rv0406c,,Rv0406c,protein_coding,ID=gene-Rv0406c;Dbxref=GeneID:886403;Name=Rv0406c;gbkey=Gene;gene_biotype=protein_coding;locus_tag=Rv0406c
H37Rv,NC_000962.3,RefSeq,CDS,489887,490705,819,-,,0,cds-NP_214920.1,NP_214920.1,beta lactamase-like protein,Rv0406c,protein_coding,"ID=cds-NP_214920.1;Parent=gene-Rv0406c;Dbxref=GenBank:NP_214920.1,GeneID:886403;Name=NP_214920.1;experiment=COORDINATES:Mass spectrometry[PMID:21969609],EXISTENCE:Mass spectrometry[PMID:20429878],EXISTENCE:Mass spectrometry[PMID:21920479];gbkey=CDS;locus_tag=Rv0406c;product=beta lactamase-like protein;protein_id=NP_214920.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,490783,491793,1011,+,,,gene-Rv0407,fgd1,,Rv0407,protein_coding,ID=gene-Rv0407;Dbxref=GeneID:886418;Name=fgd1;gbkey=Gene;gene=fgd1;gene_biotype=protein_coding;gene_synonym=fgd;locus_tag=Rv0407
H37Rv,NC_000962.3,RefSeq,CDS,490783,491793,1011,+,,0,cds-NP_214921.1,NP_214921.1,F420-dependent glucose-6-phosphate dehydrogenase,Rv0407,protein_coding,"ID=cds-NP_214921.1;Parent=gene-Rv0407;Dbxref=GenBank:NP_214921.1,GeneID:886418;Name=NP_214921.1;experiment=DESCRIPTION:Gene expression%2C protein purification and characterization[PMID:17376702],EXISTENCE:Mass spectrometry[PMID:20429878],EXISTENCE:Mass spectrometry[PMID:21920479];gbkey=CDS;gene=fgd1;locus_tag=Rv0407;product=F420-dependent glucose-6-phosphate dehydrogenase;protein_id=NP_214921.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,491786,493858,2073,+,,,gene-Rv0408,pta,,Rv0408,protein_coding,ID=gene-Rv0408;Dbxref=GeneID:886401;Name=pta;gbkey=Gene;gene=pta;gene_biotype=protein_coding;locus_tag=Rv0408
H37Rv,NC_000962.3,RefSeq,CDS,491786,493858,2073,+,,0,cds-NP_214922.1,NP_214922.1,phosphate acetyltransferase,Rv0408,protein_coding,"ID=cds-NP_214922.1;Parent=gene-Rv0408;Dbxref=GenBank:NP_214922.1,GeneID:886401;Name=NP_214922.1;Note=Belongs to the phosphate acetyltransferase and butyryltransferase family.;experiment=COORDINATES:Mass spectrometry[PMID:21969609],EXISTENCE:Mass spectrometry[PMID:17443846],EXISTENCE:Mass spectrometry[PMID:21920479];gbkey=CDS;gene=pta;locus_tag=Rv0408;product=phosphate acetyltransferase;protein_id=NP_214922.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,493851,495008,1158,+,,,gene-Rv0409,ackA,,Rv0409,protein_coding,ID=gene-Rv0409;Dbxref=GeneID:886399;Name=ackA;gbkey=Gene;gene=ackA;gene_biotype=protein_coding;locus_tag=Rv0409
H37Rv,NC_000962.3,RefSeq,CDS,493851,495008,1158,+,,0,cds-NP_214923.1,NP_214923.1,acetate kinase,Rv0409,protein_coding,"ID=cds-NP_214923.1;Parent=gene-Rv0409;Dbxref=GenBank:NP_214923.1,GeneID:886399;Name=NP_214923.1;experiment=COORDINATES:Mass spectrometry[PMID:21969609],EXISTENCE:Mass spectrometry[PMID:21920479];gbkey=CDS;gene=ackA;inference=protein motif:PROSITE:PS01075;locus_tag=Rv0409;product=acetate kinase;protein_id=NP_214923.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,495062,497314,2253,-,,,gene-Rv0410c,pknG,,Rv0410c,protein_coding,ID=gene-Rv0410c;Dbxref=GeneID:886397;Name=pknG;gbkey=Gene;gene=pknG;gene_biotype=protein_coding;locus_tag=Rv0410c
H37Rv,NC_000962.3,RefSeq,CDS,495062,497314,2253,-,,0,cds-NP_214924.1,NP_214924.1,serine/threonine-protein kinase PknG,Rv0410c,protein_coding,"ID=cds-NP_214924.1;Parent=gene-Rv0410c;Dbxref=GenBank:NP_214924.1,GeneID:886397;Name=NP_214924.1;experiment=DESCRIPTION:Gene expression and protein characterization[PMID:11496007],DESCRIPTION:Gene expression%2C mutation analysis[PMID:15186418],DESCRIPTION:Gene expression%2C mutation analysis[PMID:19528288],EXISTENCE:Mass spectrometry[PMID:20429878],EXISTENCE:Mass spectrometry[PMID:21920479];gbkey=CDS;gene=pknG;inference=protein motif:PROSITE:PS00108;locus_tag=Rv0410c;product=serine/threonine-protein kinase PknG;protein_id=NP_214924.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,497314,498300,987,-,,,gene-Rv0411c,glnH,,Rv0411c,protein_coding,ID=gene-Rv0411c;Dbxref=GeneID:886393;Name=glnH;gbkey=Gene;gene=glnH;gene_biotype=protein_coding;locus_tag=Rv0411c
H37Rv,NC_000962.3,RefSeq,CDS,497314,498300,987,-,,0,cds-NP_214925.1,NP_214925.1,glutamine-binding lipoprotein GlnH,Rv0411c,protein_coding,"ID=cds-NP_214925.1;Parent=gene-Rv0411c;Dbxref=GenBank:NP_214925.1,GeneID:886393;Name=NP_214925.1;Note=Belongs to the bacterial extracellular solute-binding protein family 3;experiment=EXISTENCE:Mass spectrometry[PMID:20429878],EXISTENCE:Mass spectrometry[PMID:21920479];gbkey=CDS;gene=glnH;inference=protein motif:PROSITE:PS01039;locus_tag=Rv0411c;product=glutamine-binding lipoprotein GlnH;protein_id=NP_214925.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,498300,499619,1320,-,,,gene-Rv0412c,Rv0412c,,Rv0412c,protein_coding,ID=gene-Rv0412c;Dbxref=GeneID:886415;Name=Rv0412c;gbkey=Gene;gene_biotype=protein_coding;locus_tag=Rv0412c
H37Rv,NC_000962.3,RefSeq,CDS,498300,499619,1320,-,,0,cds-NP_214926.1,NP_214926.1,membrane protein,Rv0412c,protein_coding,"ID=cds-NP_214926.1;Parent=gene-Rv0412c;Dbxref=GenBank:NP_214926.1,GeneID:886415;Name=NP_214926.1;experiment=COORDINATES:Mass spectrometry[PMID:21030493],EXISTENCE:Mass spectrometry[PMID:20429878],EXISTENCE:Mass spectrometry[PMID:21920479];gbkey=CDS;locus_tag=Rv0412c;product=membrane protein;protein_id=NP_214926.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,499713,500366,654,+,,,gene-Rv0413,mutT3,,Rv0413,protein_coding,ID=gene-Rv0413;Dbxref=GeneID:886405;Name=mutT3;gbkey=Gene;gene=mutT3;gene_biotype=protein_coding;locus_tag=Rv0413
H37Rv,NC_000962.3,RefSeq,CDS,499713,500366,654,+,,0,cds-NP_214927.1,NP_214927.1,8-oxo-dGTP diphosphatase,Rv0413,protein_coding,"ID=cds-NP_214927.1;Parent=gene-Rv0413;Dbxref=GenBank:NP_214927.1,GeneID:886405;Name=NP_214927.1;Note=mutator protein MutT%2C 7%2C8-dihydro-8-oxoguanine-triphosphatase (8-oxo-dGTPase) (dGTP pyrophosphohydrolase;experiment=EXISTENCE:Mass spectrometry[PMID:21085642];gbkey=CDS;gene=mutT3;locus_tag=Rv0413;product=8-oxo-dGTP diphosphatase;protein_id=NP_214927.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,500350,501018,669,-,,,gene-Rv0414c,thiE,,Rv0414c,protein_coding,ID=gene-Rv0414c;Dbxref=GeneID:886391;Name=thiE;gbkey=Gene;gene=thiE;gene_biotype=protein_coding;locus_tag=Rv0414c
H37Rv,NC_000962.3,RefSeq,CDS,500350,501018,669,-,,0,cds-NP_214928.1,NP_214928.1,thiamine-phosphate synthase,Rv0414c,protein_coding,"ID=cds-NP_214928.1;Parent=gene-Rv0414c;Dbxref=GenBank:NP_214928.1,GeneID:886391;Name=NP_214928.1;Note=thiamine-phosphate pyrophosphorylase%2C TMP pyrophosphorylase (TMP-PPASE) (thiamine-phosphate synthase);experiment=EXISTENCE:Mass spectrometry[PMID:20429878],EXISTENCE:Mass spectrometry[PMID:21920479];gbkey=CDS;gene=thiE;locus_tag=Rv0414c;product=thiamine-phosphate synthase;protein_id=NP_214928.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,501148,502170,1023,+,,,gene-Rv0415,thiO,,Rv0415,protein_coding,ID=gene-Rv0415;Dbxref=GeneID:886390;Name=thiO;gbkey=Gene;gene=thiO;gene_biotype=protein_coding;locus_tag=Rv0415
H37Rv,NC_000962.3,RefSeq,CDS,501148,502170,1023,+,,0,cds-NP_214929.1,NP_214929.1,thiamine biosynthesis oxidoreductase ThiO,Rv0415,protein_coding,"ID=cds-NP_214929.1;Parent=gene-Rv0415;Dbxref=GenBank:NP_214929.1,GeneID:886390;Name=NP_214929.1;experiment=COORDINATES:Mass spectrometry[PMID:21030493],EXISTENCE:Mass spectrometry[PMID:20429878],EXISTENCE:Mass spectrometry[PMID:21920479];gbkey=CDS;gene=thiO;locus_tag=Rv0415;product=thiamine biosynthesis oxidoreductase ThiO;protein_id=NP_214929.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,502167,502373,207,+,,,gene-Rv0416,thiS,,Rv0416,protein_coding,ID=gene-Rv0416;Dbxref=GeneID:886395;Name=thiS;gbkey=Gene;gene=thiS;gene_biotype=protein_coding;locus_tag=Rv0416
H37Rv,NC_000962.3,RefSeq,CDS,502167,502373,207,+,,0,cds-NP_214930.1,NP_214930.1,sulfur carrier protein ThiS,Rv0416,protein_coding,"ID=cds-NP_214930.1;Parent=gene-Rv0416;Dbxref=GenBank:NP_214930.1,GeneID:886395;Name=NP_214930.1;Note=A core mycobacterial gene%3B conserved in mycobacterial strains (See Marmiesse et al.%2C 2004 PMID:14766927).;gbkey=CDS;gene=thiS;locus_tag=Rv0416;product=sulfur carrier protein ThiS;protein_id=NP_214930.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,502366,503124,759,+,,,gene-Rv0417,thiG,,Rv0417,protein_coding,ID=gene-Rv0417;Dbxref=GeneID:886396;Name=thiG;gbkey=Gene;gene=thiG;gene_biotype=protein_coding;locus_tag=Rv0417
H37Rv,NC_000962.3,RefSeq,CDS,502366,503124,759,+,,0,cds-NP_214931.1,NP_214931.1,thiazole synthase,Rv0417,protein_coding,"ID=cds-NP_214931.1;Parent=gene-Rv0417;Dbxref=GenBank:NP_214931.1,GeneID:886396;Name=NP_214931.1;Note=thiamin biosynthesis protein ThiG;experiment=COORDINATES:Mass spectrometry[PMID:21969609],EXISTENCE:Mass spectrometry[PMID:20429878],EXISTENCE:Mass spectrometry[PMID:21920479];gbkey=CDS;gene=thiG;locus_tag=Rv0417;product=thiazole synthase;protein_id=NP_214931.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,503496,504998,1503,+,,,gene-Rv0418,lpqL,,Rv0418,protein_coding,ID=gene-Rv0418;Dbxref=GeneID:886381;Name=lpqL;gbkey=Gene;gene=lpqL;gene_biotype=protein_coding;locus_tag=Rv0418
H37Rv,NC_000962.3,RefSeq,CDS,503496,504998,1503,+,,0,cds-NP_214932.1,NP_214932.1,lipoprotein aminopeptidase LpqL,Rv0418,protein_coding,"ID=cds-NP_214932.1;Parent=gene-Rv0418;Dbxref=GenBank:NP_214932.1,GeneID:886381;Name=NP_214932.1;experiment=EXISTENCE:Mass spectrometry[PMID:20429878],EXISTENCE:Mass spectrometry[PMID:21920479];gbkey=CDS;gene=lpqL;inference=protein motif:PROSITE:PS00013;locus_tag=Rv0418;product=lipoprotein aminopeptidase LpqL;protein_id=NP_214932.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,505086,506582,1497,+,,,gene-Rv0419,lpqM,,Rv0419,protein_coding,ID=gene-Rv0419;Dbxref=GeneID:886388;Name=lpqM;gbkey=Gene;gene=lpqM;gene_biotype=protein_coding;locus_tag=Rv0419
H37Rv,NC_000962.3,RefSeq,CDS,505086,506582,1497,+,,0,cds-NP_214933.1,NP_214933.1,lipoprotein peptidase LpqM,Rv0419,protein_coding,"ID=cds-NP_214933.1;Parent=gene-Rv0419;Dbxref=GenBank:NP_214933.1,GeneID:886388;Name=NP_214933.1;experiment=EXISTENCE:Mass spectrometry[PMID:20429878],EXISTENCE:Mass spectrometry[PMID:21920479];gbkey=CDS;gene=lpqM;inference=protein motif:PROSITE:PS00142;locus_tag=Rv0419;product=lipoprotein peptidase LpqM;protein_id=NP_214933.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,506561,506971,411,-,,,gene-Rv0420c,Rv0420c,,Rv0420c,protein_coding,ID=gene-Rv0420c;Dbxref=GeneID:886383;Name=Rv0420c;gbkey=Gene;gene_biotype=protein_coding;locus_tag=Rv0420c
H37Rv,NC_000962.3,RefSeq,CDS,506561,506971,411,-,,0,cds-NP_214934.1,NP_214934.1,transmembrane protein,Rv0420c,protein_coding,"ID=cds-NP_214934.1;Parent=gene-Rv0420c;Dbxref=GenBank:NP_214934.1,GeneID:886383;Name=NP_214934.1;gbkey=CDS;locus_tag=Rv0420c;product=transmembrane protein;protein_id=NP_214934.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,507132,507761,630,-,,,gene-Rv0421c,Rv0421c,,Rv0421c,protein_coding,ID=gene-Rv0421c;Dbxref=GeneID:886377;Name=Rv0421c;gbkey=Gene;gene_biotype=protein_coding;locus_tag=Rv0421c
H37Rv,NC_000962.3,RefSeq,CDS,507132,507761,630,-,,0,cds-NP_214935.1,NP_214935.1,hypothetical protein,Rv0421c,protein_coding,"ID=cds-NP_214935.1;Parent=gene-Rv0421c;Dbxref=GenBank:NP_214935.1,GeneID:886377;Name=NP_214935.1;experiment=COORDINATES:Mass spectrometry[PMID:21969609],EXISTENCE:Mass spectrometry[PMID:21085642];gbkey=CDS;locus_tag=Rv0421c;product=hypothetical protein;protein_id=NP_214935.1;transl_table=11"
H37Rv,NC_000962.3,RefSeq,gene,507758,508555,798,-,,,gene-Rv0422c,thiD,,Rv0422c,protein_coding,ID=gene-Rv0422c;Dbxref=GeneID:886375;Name=thiD;gbkey=Gene;gene=thiD;gene_biotype=protein_coding;locus_tag=Rv0422c
